               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.031299,            0.035175,           0.0054794,             0.93819,             0.86399,             0.94028,             0.70164,            0.028901,            0.021066,           0.0028464,            0.003565,            0.003565,            0.003565
                  67,            0.033136,            0.040837,           0.0054674,             0.91078,             0.89621,             0.95297,             0.70505,            0.029264,            0.021134,           0.0028335,            0.003466,            0.003466,            0.003466
                  68,            0.033614,            0.037563,           0.0057998,             0.92395,             0.89407,             0.95486,             0.72097,            0.028636,            0.020859,            0.002836,            0.003367,            0.003367,            0.003367
                  69,            0.033172,            0.041537,           0.0058236,             0.91934,             0.89299,             0.95162,             0.71279,             0.02832,            0.020731,           0.0028119,            0.003268,            0.003268,            0.003268
                  70,            0.033635,            0.045936,           0.0053076,             0.91634,             0.89517,             0.95279,             0.70682,            0.029344,            0.020943,            0.002785,            0.003169,            0.003169,            0.003169
                  71,             0.03277,            0.039675,           0.0051107,             0.92718,             0.89466,             0.95545,             0.72772,             0.02789,            0.020629,           0.0027884,             0.00307,             0.00307,             0.00307
                  72,            0.032762,            0.039989,           0.0054464,             0.91991,             0.88817,             0.94605,             0.73059,            0.027381,            0.020245,           0.0027774,            0.002971,            0.002971,            0.002971
                  73,            0.031404,            0.039182,           0.0054256,             0.91678,               0.895,             0.95543,              0.7236,            0.027853,            0.020127,           0.0027349,            0.002872,            0.002872,            0.002872
                  74,            0.033331,            0.039199,           0.0052884,             0.91364,             0.90165,             0.95423,             0.74034,             0.02716,            0.019926,           0.0027212,            0.002773,            0.002773,            0.002773
                  75,            0.032821,            0.041856,           0.0053263,             0.93374,             0.89128,             0.95601,             0.72929,            0.027083,            0.019963,           0.0026922,            0.002674,            0.002674,            0.002674
                  76,            0.033064,            0.034811,           0.0047849,              0.9324,             0.88722,             0.95604,             0.72698,            0.027333,            0.019938,           0.0026548,            0.002575,            0.002575,            0.002575
                  77,            0.031113,            0.035466,           0.0046622,             0.93409,             0.89478,             0.95029,             0.73356,            0.026372,            0.019657,           0.0026234,            0.002476,            0.002476,            0.002476
                  78,            0.031172,            0.037357,           0.0048136,             0.93491,             0.88435,             0.94609,             0.73661,            0.026503,            0.019603,            0.002577,            0.002377,            0.002377,            0.002377
                  79,            0.032589,            0.038139,           0.0050545,             0.93049,             0.89594,             0.95412,             0.74232,            0.026142,            0.019435,           0.0025447,            0.002278,            0.002278,            0.002278
                  80,            0.029913,            0.032184,           0.0049655,             0.93295,             0.89501,             0.95365,               0.738,            0.026073,            0.019359,           0.0025315,            0.002179,            0.002179,            0.002179
                  81,            0.031903,            0.040263,            0.004888,             0.88959,             0.92916,             0.95536,             0.74118,            0.025823,            0.019165,           0.0025071,             0.00208,             0.00208,             0.00208
                  82,              0.0334,            0.034284,           0.0053839,             0.93142,             0.89313,              0.9577,             0.73449,            0.026321,            0.019238,           0.0024808,            0.001981,            0.001981,            0.001981
                  83,            0.029754,            0.037467,            0.004486,             0.93155,              0.8993,             0.95544,             0.74546,            0.025772,            0.019179,           0.0024645,            0.001882,            0.001882,            0.001882
                  84,            0.031438,            0.036221,           0.0048236,             0.92517,              0.8967,             0.95366,             0.75515,            0.025247,              0.0191,           0.0024589,            0.001783,            0.001783,            0.001783
                  85,            0.028027,            0.032533,           0.0049227,             0.89946,             0.91056,             0.95205,             0.75977,            0.025316,            0.019087,           0.0024298,            0.001684,            0.001684,            0.001684
                  86,            0.031909,            0.037295,           0.0051114,             0.90611,             0.92429,             0.95484,             0.75926,            0.025333,            0.019084,           0.0023979,            0.001585,            0.001585,            0.001585
                  87,            0.029493,            0.034041,           0.0047593,             0.89975,             0.92852,             0.95641,             0.75917,            0.025175,            0.018978,           0.0023761,            0.001486,            0.001486,            0.001486
                  88,            0.029094,            0.033294,           0.0044218,             0.93044,             0.89335,             0.95507,             0.76173,            0.025031,            0.018945,           0.0023512,            0.001387,            0.001387,            0.001387
                  89,            0.029562,            0.034129,           0.0047719,             0.93103,             0.88751,             0.95092,             0.75783,            0.024863,            0.018897,           0.0023383,            0.001288,            0.001288,            0.001288
                  90,            0.029836,            0.035351,           0.0051511,             0.92953,             0.88662,             0.95247,             0.76395,            0.024532,            0.018743,           0.0023226,            0.001189,            0.001189,            0.001189
                  91,            0.030199,            0.036877,           0.0046596,             0.92846,             0.88784,             0.95271,             0.76686,            0.024447,            0.018653,            0.002311,             0.00109,             0.00109,             0.00109
                  92,            0.028926,            0.035437,           0.0043904,             0.93034,             0.89187,             0.94602,             0.76964,            0.024285,            0.018543,           0.0022915,            0.000991,            0.000991,            0.000991
                  93,            0.029563,            0.038837,            0.004267,             0.93073,             0.89591,             0.94727,             0.77004,            0.024235,             0.01845,           0.0022848,            0.000892,            0.000892,            0.000892
                  94,            0.029832,            0.037304,           0.0051911,             0.93512,             0.89781,             0.95031,             0.77226,            0.024077,            0.018368,           0.0022778,            0.000793,            0.000793,            0.000793
                  95,            0.027563,            0.034236,           0.0042309,             0.93387,               0.895,             0.95695,             0.77725,            0.023854,            0.018278,           0.0022662,            0.000694,            0.000694,            0.000694
                  96,            0.028458,            0.034691,           0.0045053,             0.93318,              0.8948,             0.95628,             0.77645,            0.023815,            0.018197,            0.002259,            0.000595,            0.000595,            0.000595
                  97,            0.030223,            0.038381,           0.0049148,             0.93283,             0.89623,             0.95628,             0.77388,            0.023899,            0.018172,           0.0022545,            0.000496,            0.000496,            0.000496
                  98,            0.027928,            0.035999,            0.004812,             0.93306,             0.89602,             0.95667,             0.77796,            0.023679,            0.018075,            0.002246,            0.000397,            0.000397,            0.000397
                  99,            0.030469,            0.038454,           0.0044607,             0.93363,               0.896,             0.95736,             0.78137,            0.023551,            0.018022,           0.0022416,            0.000298,            0.000298,            0.000298
