               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.015391,           0.0049506,          0.00059976,             0.99831,                   1,               0.995,             0.85772,           0.0079811,           0.0022575,          0.00034278,            0.003169,            0.003169,            0.003169
                  71,            0.015167,           0.0047298,          0.00054263,             0.99852,                   1,               0.995,             0.85507,           0.0079176,           0.0022563,          0.00030813,             0.00307,             0.00307,             0.00307
                  72,             0.01507,           0.0049423,          0.00055958,             0.99823,                   1,               0.995,             0.85771,           0.0080678,           0.0022644,          0.00029453,            0.002971,            0.002971,            0.002971
                  73,            0.015942,           0.0046616,          0.00052644,              0.9982,                   1,               0.995,             0.85139,           0.0084942,           0.0023114,          0.00028549,            0.002872,            0.002872,            0.002872
                  74,            0.015985,           0.0050459,          0.00053836,             0.99844,                   1,               0.995,             0.84698,           0.0082534,           0.0022881,           0.0002938,            0.002773,            0.002773,            0.002773
                  75,            0.015149,           0.0045946,          0.00064905,             0.99824,                   1,               0.995,             0.85349,           0.0079611,           0.0022857,           0.0002838,            0.002674,            0.002674,            0.002674
                  76,            0.014645,           0.0046426,          0.00052716,             0.99844,                   1,               0.995,             0.85185,           0.0080293,           0.0022612,          0.00027387,            0.002575,            0.002575,            0.002575
                  77,            0.015515,           0.0048108,           0.0005232,             0.99852,                   1,               0.995,             0.85893,           0.0079629,           0.0022449,          0.00025988,            0.002476,            0.002476,            0.002476
                  78,            0.014987,           0.0050144,          0.00047405,             0.99814,                   1,               0.995,             0.86112,           0.0080254,           0.0022426,          0.00025344,            0.002377,            0.002377,            0.002377
                  79,            0.015087,           0.0047889,          0.00052113,             0.99796,                   1,               0.995,             0.85529,           0.0080066,           0.0022728,           0.0002519,            0.002278,            0.002278,            0.002278
                  80,            0.014837,           0.0048288,          0.00052734,             0.99821,                   1,               0.995,             0.85628,           0.0079011,           0.0022739,          0.00024488,            0.002179,            0.002179,            0.002179
                  81,            0.014386,           0.0048339,          0.00048504,             0.99832,                   1,               0.995,             0.85758,           0.0079842,           0.0022661,          0.00023445,             0.00208,             0.00208,             0.00208
                  82,            0.014286,           0.0047721,          0.00047271,             0.99838,                   1,               0.995,             0.85812,           0.0079406,           0.0022808,          0.00022635,            0.001981,            0.001981,            0.001981
                  83,            0.014322,           0.0047203,          0.00047078,             0.99853,                   1,               0.995,             0.85764,           0.0078353,            0.002252,          0.00021734,            0.001882,            0.001882,            0.001882
                  84,            0.014129,           0.0047764,          0.00043098,             0.99852,                   1,               0.995,             0.85538,           0.0079553,             0.00226,          0.00021025,            0.001783,            0.001783,            0.001783
                  85,            0.014043,           0.0048594,          0.00040441,             0.99835,                   1,               0.995,             0.86201,           0.0080165,           0.0022515,          0.00020385,            0.001684,            0.001684,            0.001684
                  86,            0.014516,           0.0046441,          0.00044137,             0.99833,                   1,               0.995,             0.85969,           0.0080411,            0.002269,          0.00020151,            0.001585,            0.001585,            0.001585
                  87,            0.014126,           0.0046656,          0.00037812,              0.9983,                   1,               0.995,             0.85676,           0.0078543,           0.0022519,          0.00019839,            0.001486,            0.001486,            0.001486
                  88,             0.01348,           0.0046541,          0.00035163,             0.99817,                   1,               0.995,             0.85418,           0.0078299,            0.002237,           0.0001928,            0.001387,            0.001387,            0.001387
                  89,            0.014009,           0.0046656,          0.00041598,             0.99814,                   1,               0.995,             0.85672,           0.0077833,           0.0022067,          0.00018827,            0.001288,            0.001288,            0.001288
                  90,            0.013805,           0.0047535,            0.000362,             0.99817,                   1,               0.995,             0.85847,           0.0078305,            0.002225,          0.00017786,            0.001189,            0.001189,            0.001189
                  91,            0.013762,           0.0045161,          0.00040796,             0.99833,                   1,               0.995,             0.86066,            0.007767,           0.0022099,          0.00017338,             0.00109,             0.00109,             0.00109
                  92,            0.014466,            0.004503,          0.00038344,              0.9985,                   1,               0.995,             0.85874,           0.0076739,           0.0022178,          0.00016861,            0.000991,            0.000991,            0.000991
                  93,            0.013898,           0.0044399,          0.00034159,             0.99844,                   1,               0.995,             0.85732,           0.0077715,           0.0022291,           0.0001637,            0.000892,            0.000892,            0.000892
                  94,            0.013455,           0.0047438,          0.00035531,             0.99841,                   1,               0.995,             0.86316,           0.0076087,           0.0022167,          0.00015933,            0.000793,            0.000793,            0.000793
                  95,            0.013304,           0.0047135,          0.00028612,              0.9983,                   1,               0.995,             0.86249,           0.0076253,           0.0022138,          0.00015539,            0.000694,            0.000694,            0.000694
                  96,            0.013235,           0.0049464,          0.00032064,             0.99815,                   1,               0.995,             0.85991,           0.0076793,           0.0022184,          0.00015057,            0.000595,            0.000595,            0.000595
                  97,            0.013898,           0.0044946,          0.00031683,             0.99818,                   1,               0.995,             0.85967,           0.0077792,           0.0022183,          0.00014633,            0.000496,            0.000496,            0.000496
                  98,            0.013262,           0.0045693,          0.00031483,             0.99822,                   1,               0.995,             0.85628,           0.0077587,            0.002212,          0.00014431,            0.000397,            0.000397,            0.000397
                  99,             0.01321,           0.0044478,          0.00027194,             0.99824,                   1,               0.995,             0.85744,           0.0077077,           0.0022146,            0.000142,            0.000298,            0.000298,            0.000298
